predicted.protein.intensity.log2.0h	predicted.protein.intensity.log2.1h	predicted.protein.intensity.log2.2h	predicted.protein.intensity.log2.3h	predicted.protein.intensity.log2.4h	predicted.protein.intensity.log2.5h	predicted.protein.intensity.log2.6h	predicted.protein.intensity.log2.7h	predicted.protein.intensity.log2.8h	predicted.protein.intensity.log2.14h	predicted.protein.intensity.log2.19h	predicted.protein.intensity.log2.24h
Stat3	25.9252366922901	24.9121669900718	24.8326915244266	25.6813601171862	25.7230700821382	25.0550816094164	25.6394123354719	25.8744548671085	25.5388764356299	23.747817014682	23.3668725013358	24.1530436061817
Stat5a	27.8944534148345	25.7754765412976	24.637288065282	24.6537672089482	25.3530892337875	25.0834699188382	26.0670480524099	26.0488291980216	24.7930830543509	18.3503626883513	17.6605723232732	16.7637110918664
Stat6	22.0760107798889	21.5895370157165	21.4591964383367	21.9444274319964	21.7677318663158	21.311837364725	21.534731387702	21.9407053997136	22.0535973039916	19.9061423149935	20.3152516963906	20.535631917016
Tal1	22.8755269575239	22.5512462271748	22.8037188527187	23.5692681821511	23.7747664565259	23.6118906406421	23.7847518286268	23.9080034649623	23.9267618532178	24.0981293234374	25.0515209462613	25.1038918570208
Tcea1	25.5515435147647	25.830114361633	25.8640970736481	25.6098022232103	25.8178316568784	26.1316052959248	26.2201023446475	26.2842711245449	26.5072868186825	27.0190677006069	28.0780348962814	29.0228175131034
Tfrc	27.6473222274092	27.5688542675519	28.02898459006	28.8996323178783	29.6311461212686	29.8025695237559	30.1321661871856	30.3667856219185	30.6247629983043	30.5239806780379	31.5978905295925	31.5770169681735
Tmsb4x	20.2699588447213	20.3244045356387	20.3028356139022	20.0974124022304	19.8289370310184	20.010925733261	19.7605297878439	19.4975164032515	19.3435451943011	19.5737381061462	18.8124596139771	17.8812327925959
Tpr	29.3935771953609	27.1216121965284	26.5831645689221	28.1180771627979	30.0176090891096	28.6698281952899	28.7518682244882	28.7509338903737	28.2035684796924	27.9697453184787	26.9647769971908	25.5227915178661
Urod	27.0762988368409	27.5219912146064	27.7822032284454	27.7909035958115	27.7689655662614	27.783487038312	27.8608557482657	27.9580849220312	28.1385763258009	28.7570313534661	29.9512954782929	30.3435802655978
Uros	24.4083908952902	24.5917214045929	24.3896296842442	23.8763059733342	24.1491733326805	24.971844174367	25.3933259965887	25.7818288880785	26.2417883957127	26.9717907459089	27.5041784374939	27.670403049271
Wiz	22.2032398320906	21.6640935705385	21.8850444848174	23.0213675254886	23.5453845068367	22.9910165286891	22.9520396608359	22.7171676460462	21.9208143768712	20.8252292486688	20.5043700776543	21.0637694301058
Ybx1	28.893220540012	28.9346639994817	28.9054138715732	28.8030592871887	28.6490429089564	28.4519142317363	28.6476913815235	28.7635530992503	28.7847795279893	27.7555256509083	26.7359315440793	23.3272778989848
Zmym4	21.3997462496637	21.0580781539863	20.9409676123534	21.2214732617927	20.9579562418012	20.7956572663077	21.7211291029419	22.0088826577094	21.3528383233419	18.5153783602729	18.0860596910705	17.6583697206199
